CountyCode,Month,Year,CommodityCode,NetPlantedNum,NetDeterminedNum,MonthAvgPrecipitation,MonthAvgTemp,IndemnityAmount
77,6,2004,11,410.78,410.78,0,72.8,30193
77,6,2004,11,102.2,102.2,0,72.8,14413
77,6,2004,33,30.82,30.82,0,72.8,7229
77,6,2004,33,161.35,161.35,0,72.8,17337
77,6,2004,41,719.43,719.43,0,72.8,82859
77,6,2004,41,6.94,6.94,0,72.8,1617
77,6,2004,87,118,118,0,72.8,86931
113,2,2004,33,57.8,57.8,6.7,50.1,21646
11,5,2005,18,120.3,120.3,2.54,64,18432
49,5,2005,55,377.622,377.622,4.73,50.2,88324.4
77,10,2004,11,127.8,255.6,2.55,62.6,11209
101,5,2005,18,290.634,290.634,1.96,66.6,19381.8
101,5,2005,18,96,96,1.96,66.6,21675
101,5,2005,18,149.25,149.25,1.96,66.6,10942
101,5,2005,49,89.1,89.1,1.96,66.6,6369
101,6,2005,87,29,29,0.82,70.4,5893
111,12,2004,19,17,17,8.97,48.9,6348
111,12,2004,19,1.2,1.2,8.97,48.9,2300
111,12,2004,202,37,37,8.97,48.9,646
113,5,2005,18,346.6,346.6,1.98,65.7,61453
113,5,2005,18,903.2,903.2,1.98,65.7,129884
113,5,2005,18,430.4,430.4,1.98,65.7,79411
113,5,2005,18,129,129,1.98,65.7,7636
19,4,2006,11,137.2,137.2,5.39,49.3,7879
19,1,2006,39,30.3,30.3,5.38,40.8,18073
19,1,2006,39,92,75,5.38,40.8,2850
39,3,2006,21,102.5,102.5,6.61,40.7,11070
39,5,2006,21,53,53,6.75,61.8,4706
67,4,2006,53,99.2175,99.2175,4.51,58,123563.45
77,2,2006,53,8.5,8.5,1.16,51.8,15800
77,4,2006,53,33.4,33.4,3.26,57.9,86115
77,2,2006,89,34.72,34.72,1.16,51.8,41748
99,4,2006,11,128,128,2.71,57.2,24636
99,4,2006,16,188.7,188.7,2.71,57.2,12620
99,3,2006,32,40,40,4.23,48.7,8600
99,4,2006,33,621.3,621.3,2.71,57.2,403863
101,3,2006,18,785.9,785.9,5.38,49.5,172081
113,2,2007,11,576.1,577.5,4.1,51.8,36164
113,2,2008,11,38.5,38.5,2.83,51.8,2411
113,1,2010,11,61.36,59.35,7.32,47.5,-10628
113,1,2010,11,206.36,208.37,7.32,47.5,47132
19,4,2011,22,66.2,66.2,6.43,50,49485
